codigo_convenio;nome_convenio;novo_com_seguro;novo_sem_seguro;refin_com_seguro;refin_sem_seguro
38086;MUNICIPIO DE IGARAPAVA;"[{""tx"": 2.69, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.79, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.89, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.99, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.09, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.69, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.79, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.89, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.99, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.09, ""com"": 4.0, ""pz"": ""96""}]"
38087;PREFEITURA MUNICIPAL DE JABORANDI;"[{""tx"": 2.58, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.63, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.73, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.83, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.93, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.58, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.63, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.73, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.83, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.93, ""com"": 4.0, ""pz"": ""96""}]"
38099;INSTITUTO DE PREVIDENCIA MUNICIPAL;"[{""tx"": 2.9, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.95, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 3.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 3.15, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.34, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.9, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.95, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 3.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 3.15, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.34, ""com"": 4.0, ""pz"": ""96""}]"
38151;SERVICO AUTONOMO DE AGUA E ESGOTO DE PEDREIRA;"[{""tx"": 2.19, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.44, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.19, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.44, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 4.0, ""pz"": ""96""}]"
38152;TRIBUNAL REGIONAL DO TRABALHO DA 20;"[{""tx"": 3.0, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.1, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 3.2, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 3.3, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.4, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 3.0, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.1, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 3.2, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 3.3, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.4, ""com"": 4.0, ""pz"": ""96""}]"
38163;RIO GRANDE DO NORTE TRIBUNAL DE JUS;"[{""tx"": 1.94, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.24, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.04, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.34, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.44, ""com"": 4.0, ""pz"": ""96""}]"
38167;PREFEITURA M DE CARUARU;"[{""tx"": 2.4, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.45, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.55, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.65, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.75, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.4, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.45, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.55, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.65, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.75, ""com"": 4.0, ""pz"": ""96""}]"
38205;PREFEITURA MUNICIPAL DE CAMPO LIMPO;"[{""tx"": 2.26, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.36, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.46, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.56, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.66, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.26, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.36, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.46, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.56, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.66, ""com"": 4.0, ""pz"": ""96""}]"
38273;PREFEITURA MUNICIPAL DE SAO MANUEL;"[{""tx"": 1.99, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.24, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 1.99, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.14, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.24, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}]"
38274;PROCURADORIA GERAL DO ESTADO DE SP;"[{""tx"": 2.12, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.22, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.32, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.42, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.52, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.34, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.44, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.64, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.74, ""com"": 4.0, ""pz"": ""96""}]"
38284;IMPREV - INSTITUTO MUNICIPAL DE PREVIDENCIA DE VIRADOURO;"[{""tx"": 2.19, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.44, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.19, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.44, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 4.0, ""pz"": ""96""}]"
38385;PREFEITURA MUNICIPAL DE CAPIVARI;"[{""tx"": 2.2, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.3, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.4, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.5, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.6, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.2, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.3, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.4, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.5, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.6, ""com"": 4.0, ""pz"": ""96""}]"
38397;AUTARQUIA MUNICIPAL DE TRÃNSITO E TRANSPORTES DE CONTAGEM - TRANSCON;"[{""tx"": 2.14, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.44, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.34, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.44, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.54, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.64, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.74, ""com"": 4.0, ""pz"": ""96""}]"
38400;ARAPREV;"[{""tx"": 2.1, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.15, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.25, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.35, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.45, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.1, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.15, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.25, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.35, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.45, ""com"": 4.0, ""pz"": ""96""}]"
38442;MUNICIPIO DE PARATI;"[{""tx"": 2.57, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.62, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.72, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.82, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.92, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.57, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.62, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.72, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.82, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.92, ""com"": 4.0, ""pz"": ""96""}]"
38474;PREFEITURA MUNICIPAL DE XEXEU;"[{""tx"": 2.14, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.19, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.29, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.39, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.49, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.14, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.19, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.29, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.39, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.49, ""com"": 4.0, ""pz"": ""96""}]"
38531;PREFEITURA MUNICIPAL DE CACHOEIRA PAULISTA;"[{""tx"": 2.65, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.75, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.85, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.95, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.05, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.65, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.75, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.85, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.95, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 3.05, ""com"": 4.0, ""pz"": ""96""}]"
38551;PREFEITURA MUNICIPAL DE ARARAS;"[{""tx"": 2.12, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.17, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.27, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.37, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.47, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.12, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.17, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.27, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.37, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.47, ""com"": 4.0, ""pz"": ""96""}]"
38552;SERVICO MUNICIPAL DE TRANSPORTES CO;"[{""tx"": 2.2, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.25, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.35, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.45, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.55, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.2, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.25, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.35, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.45, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.55, ""com"": 4.0, ""pz"": ""96""}]"
38553;SERVICO DE AGUA E ESGOTO E MEIO AMB;"[{""tx"": 2.04, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.09, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.19, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.29, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.39, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.04, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.09, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.19, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.29, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.39, ""com"": 4.0, ""pz"": ""96""}]"
38575;SAO PAULO TRIBUNAL DE JUSTICA;"[{""tx"": 1.89, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 1.94, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.14, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 1.89, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 1.94, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.04, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.14, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.24, ""com"": 4.0, ""pz"": ""96""}]"
38598;INSTITUTO DE PREVIDENCIA E ASSISTENCIA DOS SERVIDORES MUNICIPAIS DE SAO GONCALO;"[{""tx"": 2.29, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.44, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.54, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.64, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.29, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.34, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.44, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.54, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.64, ""com"": 4.0, ""pz"": ""96""}]"
38623;PREFEITURA MUNICIPAL DE CEDRAL;"[{""tx"": 2.05, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.1, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.2, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.3, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.4, ""com"": 4.0, ""pz"": ""96""}]";"[{""tx"": 2.05, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.1, ""com"": 4.0, ""pz"": ""96""}, {""tx"": 2.2, ""com"": 6.0, ""pz"": ""96""}]";"[{""tx"": 2.3, ""com"": 3.0, ""pz"": ""96""}, {""tx"": 2.4, ""com"": 4.0, ""pz"": ""96""}]"
